,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Count,Avg. Duration,Cum. Duration,,Ground Truth,Gazepath,Dispersion,Velocity,Ground Truth,Gazepath,Dispersion,Velocity
22,136,104,72,329.1103,460.75,673.8889,44759,47918,48520,116,405.069,46988,,,,,,,,,
23,77,50,26,613.2987,973.82,1899.538,47224,48691,49388,63,765.4286,48222,,,,,,,,,
24,142,94,56,305.4789,492.3723,851.4107,43378,46283,47679,111,412.3604,45772,,,,,,,,,
25,113,101,78,376.6726,445.2871,588.5513,42564,44974,45907,116,386.4052,44823,,,,,,,,,
26,96,61,47,492.4896,803.2131,1054.596,47279,48996,49566,77,631.4286,48620,,,,,,,,,
27,118,101,74,387.5254,476.5842,661.3784,45728,48135,48942,116,412.5259,47853,,,,,,,,,
28,93,66,33,514.5591,761.1818,1530.697,47854,50238,50513,75,666.7333,50005,,,,,,,,,
29,96,76,56,464.8125,618.0263,849.875,44622,46970,47593,88,529.5341,46599,,,,,,,,,
30,109,80,55,427.4037,606.8875,891.0909,46587,48551,49010,95,506.7789,48144,,,,,,,,,
1,9,9,6,357,378.2222,575.8333,3213,3404,3455,10,361.7,3617,,,,,,,,,
2,8,7,5,413,497.1429,714,3304,3480,3570,9,394.2222,3548,,,,,,,,,
3,10,9,7,373.8,443.5556,567.8571,3738,3992,3975,10,396.5,3965,,,,,,,,,
4,13,13,10,252.3077,274.4615,356.1,3280,3568,3561,13,269.3077,3501,,,,,,,,,
5,10,7,6,374.6,563.2857,661.8333,3746,3943,3971,9,431.5556,3884,,,,,,,,,
6,11,9,8,317.7273,415.4444,465.875,3495,3739,3727,10,369.1,3691,,,,,,,,,
7,8,7,3,425.25,517.5714,1220,3402,3623,3660,7,509.5714,3567,,,,,,,,,
8,7,7,3,395.1429,443.2857,1059.333,2766,3103,3178,8,415.375,3323,,,,,,,,,
9,13,12,11,260.7692,300.6667,333,3390,3608,3663,13,272.3077,3540,,,,,,,,,
10,14,12,7,237.0714,318.9167,548.5714,3319,3827,3840,13,290.6154,3778,,,,,,,,,
