,,,Count ,,,Avg Duration (ms),,,Cum. Duration (ms),,,Ground Truth,,,,Count ,,,Avg Duration (ms),,,Cum. Duration (ms),,,Ground Truth,,
,,,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Count,Avg. Duration,Cum. Duration,,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Count,Avg. Duration,Cum. Duration
,,27,33,31,30,509.0303,579.5484,602.8333,16798,17966,18085,34,528.0588,17954,,35,35,31,476.9714,504.6286,574.9032,16694,17662,17822,34,528.0588,17954
,,28,26,17,13,648.8462,1040.2941,1360.8462,16870,17685,17691,21,843.0476,17704,,26,26,15,638.4231,667.1538,1161.867,16599,17346,17428,21,843.0476,17704
,,29,32,24,21,511.5313,720.7917,831.5714,16369,17299,17463,26,660.4615,17172,,31,29,19,512.4839,581.3448,895.6316,15887,16859,17017,26,660.4615,17172
,,30,64,44,27,249.5625,390.7045,640.5185,15972,17191,17294,56,314.3929,17606,,57,53,34,269.1404,306.3774,487.0294,15341,16238,16559,56,314.3929,17606
11,Bike 3,1,38,32,21,330.9211,419.0625,648.6667,12575,13410,13622,34,396.3824,13477,,32,30,18,311.0938,347.3333,598.6111,9955,10420,10775,34,396.3824,13477
,,2,37,32,16,326.8919,406.2188,838.625,12095,12999,13418,35,361.4571,12651,,35,35,17,314.0571,328.4857,710.8824,10992,11497,12085,35,361.4571,12651
,,3,39,34,24,343.3846,413.3824,592.4167,13392,14055,14218,35,397.3143,13906,,30,33,19,421.1,402.0909,706.3684,12633,13269,13421,35,397.3143,13906
,,4,44,40,34,287.6818,342.625,405.5,12658,13705,13787,42,323.3333,13580,,42,39,24,290.1667,345.4615,567.2917,12187,13473,13615,42,323.3333,13580
,,5,32,27,15,419.0938,530.2963,955.4667,13411,14318,14332,30,472.3333,14170,,31,29,16,428.9355,490.069,894.875,13297,14212,14318,30,472.3333,14170
,,6,29,19,11,470.2069,740.5789,1285.7273,13636,14071,14143,20,700,14000,,27,20,9,484.5556,697.7,1570.222,13083,13954,14132,20,700,14000
,,7,35,25,16,373.4857,552.56,864.875,13072,13814,13838,27,514.3333,13887,,35,26,7,378.0286,539.2692,2015,13231,14021,14105,27,514.3333,13887
,,8,22,22,19,561.7727,597.1818,702.0526,12359,13138,13339,22,590.2273,12985,,21,20,18,541.6667,607.95,684.1111,11375,12159,12314,22,590.2273,12985
,,9,42,30,18,312.9762,466.8667,782.6111,13145,14006,14087,33,419.2121,13834,,39,35,15,325.8974,385.6857,909.6667,12710,13499,13645,33,419.2121,13834
,,10,42,39,34,291.6905,353.7179,406.8235,12251,13795,13832,42,322.3333,13538,,41,40,30,292.0732,325.9,446.1,11975,13036,13383,42,322.3333,13538
,,11,17,12,10,809.2353,1197.25,1438.2,13757,14367,14382,15,954.3333,14315,,16,14,8,858.625,1016.857,1796.625,13738,14236,14373,15,954.3333,14315
,,12,36,23,13,345.9167,576.3478,1026.6923,12453,13256,13347,30,469.4667,14084,,35,22,8,377.2571,643.5909,1786.875,13204,14159,14295,30,469.4667,14084
,,13,43,36,26,291.8605,380.8611,530,12550,13711,13780,42,322.7857,13557,,43,43,34,287.2093,315.814,405.0294,12350,13580,13771,42,322.7857,13557
,,14,30,24,23,438,577.6667,605.5652,13140,13864,13928,28,493,13804,,30,24,17,428.8,576.125,821.7647,12864,13827,13970,28,493,13804
,,15,38,37,36,325.4211,376.9459,388.4722,12366,13947,13985,38,359.8421,13674,,35,37,29,338.8,344.5946,447.9655,11858,12750,12991,38,359.8421,13674
